feature_id,Variable_Label
1,MBAXt
2,MBAYt
3,MBAZt
4,SBAXt
5,SBAYt
6,SBAZt
41,MGAXt
42,MGAYt
43,MGAZt
44,SGAXt
45,SGAYt
46,SGAZt
81,MBAJXt
82,MBAJYt
83,MBAJZt
84,SBAJXt
85,SBAJYt
86,SBAJZt
121,MBGXt
122,MBGYt
123,MBGZt
124,SBGXt
125,SBGYt
126,SBGZt
161,MBGJXt
162,MBGJYt
163,MBGJZt
164,SBGJXt
165,SBGJYt
166,SBGJZt
201,MBAMt
202,SBAMt
214,MGAMt
215,SGAMt
227,MBAJMt
228,SBAJMt
240,MBGMt
241,SBGMt
253,MBGJMt
254,SBGJMt
266,MBAXf
267,MBAYf
268,MBAZf
269,SBAXf
270,SBAYf
271,SBAZf
345,MBAJXf
346,MBAJYf
347,MBAJZf
348,SBAJXf
349,SBAJYf
350,SBAJZf
424,MBGXf
425,MBGYf
426,MBGZf
427,SBGXf
428,SBGYf
429,SBGZf
503,MBAMf
504,SBAMf
516,MBBAJMf
517,SBBAJMf
529,MBBGMf
530,SBBGMf
542,MBBGJMf
543,SBBGJMf
